10 -9.75377 13.1287
16.1042 -8.78695 13.1287
21.611 -5.98113 13.1287
25.9811 -1.61097 13.1287
28.7869 3.89575 13.1287
29.7538 10 13.1287
nan nan nan
30 10 10
29.0211 16.1803 10
26.1803 21.7557 10
21.7557 26.1803 10
16.1803 29.0211 10
10 30 10
3.81966 29.0211 10
-1.75571 26.1803 10
-6.18034 21.7557 10
-9.02113 16.1803 10
-10 10 10
-9.02113 3.81966 10
-6.18034 -1.75571 10
-1.75571 -6.18034 10
3.81966 -9.02113 10
10 -10 10
16.1803 -9.02113 10
21.7557 -6.18034 10
26.1803 -1.75571 10
29.0211 3.81966 10
30 10 10
nan nan nan
29.7538 10 6.87131
28.7869 16.1042 6.87131
25.9811 21.611 6.87131
21.611 25.9811 6.87131
16.1042 28.7869 6.87131
10 29.7538 6.87131
3.89575 28.7869 6.87131
-1.61097 25.9811 6.87131
-5.98113 21.611 6.87131
-8.78695 16.1042 6.87131
-9.75377 10 6.87131
-8.78695 3.89575 6.87131
-5.98113 -1.61097 6.87131
-1.61097 -5.98113 6.87131
3.89575 -8.78695 6.87131
10 -9.75377 6.87131
16.1042 -8.78695 6.87131
21.611 -5.98113 6.87131
25.9811 -1.61097 6.87131
28.7869 3.89575 6.87131
29.7538 10 6.87131
nan nan nan
29.0211 10 3.81966
28.0902 15.8779 3.81966
25.3884 21.1803 3.81966
21.1803 25.3884 3.81966
15.8779 28.0902 3.81966
10 29.0211 3.81966
4.12215 28.0902 3.81966
-1.18034 25.3884 3.81966
-5.38842 21.1803 3.81966
-8.09017 15.8779 3.81966
-9.02113 10 3.81966
-8.09017 4.12215 3.81966
-5.38842 -1.18034 3.81966
-1.18034 -5.38842 3.81966
4.12215 -8.09017 3.81966
10 -9.02113 3.81966
15.8779 -8.09017 3.81966
21.1803 -5.38842 3.81966
25.3884 -1.18034 3.81966
28.0902 4.12215 3.81966
29.0211 10 3.81966
nan nan nan
27.8201 10 0.92019
26.948 15.5067 0.92019
24.4168 20.4744 0.92019
20.4744 24.4168 0.92019
15.5067 26.948 0.92019
10 27.8201 0.92019
4.49328 26.948 0.92019
-0.47441 24.4168 0.92019
-4.41679 20.4744 0.92019
-6.94795 15.5067 0.92019
-7.82013 10 0.92019
-6.94795 4.49328 0.92019
-4.41679 -0.47441 0.92019
-0.47441 -4.41679 0.92019
4.49328 -6.94795 0.92019
10 -7.82013 0.92019
15.5067 -6.94795 0.92019
20.4744 -4.41679 0.92019
24.4168 -0.47441 0.92019
26.948 4.49328 0.92019
27.8201 10 0.92019
nan nan nan
26.1803 10 -1.75571
25.3884 15 -1.75571
23.0902 19.5106 -1.75571
19.5106 23.0902 -1.75571
15 25.3884 -1.75571
10 26.1803 -1.75571
5 25.3884 -1.75571
0.489435 23.0902 -1.75571
-3.09017 19.5106 -1.75571
-5.38842 15 -1.75571
-6.18034 10 -1.75571
-5.38842 5 -1.75571
-3.09017 0.489435 -1.75571
0.489435 -3.09017 -1.75571
5 -5.38842 -1.75571
10 -6.18034 -1.75571
15 -5.38842 -1.75571
19.5106 -3.09017 -1.75571
23.0902 0.489435 -1.75571
25.3884 5 -1.75571
26.1803 10 -1.75571
nan nan nan
24.1421 10 -4.14214
23.45 14.3702 -4.14214
21.4412 18.3125 -4.14214
18.3125 21.4412 -4.14214
14.3702 23.45 -4.14214
10 24.1421 -4.14214
5.62984 23.45 -4.14214
1.68746 21.4412 -4.14214
-1.44123 18.3125 -4.14214
-3.44997 14.3702 -4.14214
-4.14214 10 -4.14214
-3.44997 5.62984 -4.14214
-1.44123 1.68746 -4.14214
1.68746 -1.44123 -4.14214
5.62984 -3.44997 -4.14214
10 -4.14214 -4.14214
14.3702 -3.44997 -4.14214
18.3125 -1.44123 -4.14214
21.4412 1.68746 -4.14214
23.45 5.62984 -4.14214
24.1421 10 -4.14214
nan nan nan
21.7557 10 -6.18034
21.1803 13.6327 -6.18034
19.5106 16.9098 -6.18034
